Bomb BoTTTTT,@
Sosfire,~
Cool Goomy,+
Nichkma,+
Naomyh,+
UltiMaia,+
f4mishedcapter,+
copa do mundo 2014,+
jnfm1999,+
Riko & Ako,+
Lipola,+
Julio_Joao9984,+
Takao,+
Badjase,%
nomiaki,+
InfernousL,+
Kaka6782,+
chibe,%
Gabriell-Uzumaki,+
goldert,+
dalvani,+
GamingBR,+
nikayo,+
Deus Super Azul,~
leon2003marter,+
MadryGames,+
kauadourado,+
lentinhoneemiasnr,+
Coulb,+
Matheusi,%
Gnik-Odin,~
caiodrago,+
Espeon Psychc,%
Henrique2905,+
goten2905,+
daniel max,+
Nedle,+
ChampionOliver,+
Macqueenjv,+
Tamay,+
charizard825,+
Master System,@
Extremocv,+
layla156,+
umbullisabous,+
DarkShadowz,+
Magic Choice,+
Master K Pokemon,@
McBranquela,@
DTWally,+
Siirin,~
delpox,@
Diogo-gamer,~
Storm SamSam,&
Mixell_Konzern,+
GDP PressodiaSamu,~
Ana Catarinaah,%
SamSamBlaze,&
Storm Fabi☯Gamer,~
Branquelo - ⓜⓘⓝⓔ,~
Renzido_Showdown,@
filho do sos,&
